iter	Passed	Remaining
400	26715	173149
401	26785	173103
402	26859	173085
403	26937	173090
404	27020	173133
405	27124	173302
406	27204	173323
407	27284	173337
408	27359	173323
409	27430	173277
410	27513	173312
411	27584	173272
412	27680	173387
413	27775	173497
414	27851	173486
415	27937	173534
416	28009	173500
417	28080	173453
418	28137	173321
419	28191	173176
420	28269	173175
421	28335	173098
422	28413	173102
423	28486	173068
424	28582	173178
425	28658	173161
426	28750	173245
427	28827	173232
428	28879	173072
429	28956	173062
430	29036	173075
431	29104	173007
432	29190	173053
433	29249	172937
434	29301	172775
435	29370	172722
436	29442	172680
437	29517	172657
438	29597	172660
439	29675	172655
440	29754	172657
441	29836	172672
442	29922	172712
443	29999	172700
444	30059	172588
445	30138	172587
446	30208	172534
447	30294	172568
448	30369	172543
449	30434	172463
450	30502	172394
451	30564	172295
452	30646	172312
453	30729	172330
454	30828	172434
455	30901	172400
456	30973	172353
457	31056	172372
458	31136	172368
459	31186	172206
460	31268	172212
461	31353	172239
462	31420	172165
463	31497	172147
464	31554	172021
465	31622	171958
466	31725	172077
467	31785	171969
468	31857	171922
469	31942	171945
470	31994	171790
471	32069	171761
472	32138	171699
473	32214	171675
474	32291	171657
475	32392	171761
476	32492	171860
477	32574	171866
478	32649	171837
479	32742	171895
480	32819	171876
481	32898	171864
482	32970	171814
483	33027	171686
484	33088	171585
485	33147	171468
486	33227	171457
487	33288	171351
488	33346	171234
489	33406	171121
490	33499	171181
491	33597	171266
492	33687	171309
493	33769	171310
494	33854	171323
495	33928	171285
496	33980	171135
497	34044	171042
498	34127	171049
499	34203	171019
500	34282	171000
501	34358	170973
502	34425	170894
503	34500	170859
504	34560	170748
505	34610	170591
506	34685	170555
507	34757	170505
508	34821	170411
509	34908	170434
510	34985	170409
511	35066	170403
512	35142	170369
513	35199	170246
514	35260	170142
515	35341	170133
516	35412	170078
517	35467	169941
518	35532	169857
519	35623	169898
520	35700	169870
521	35794	169919
522	35850	169792
523	35932	169786
524	35995	169692
525	36072	169666
526	36153	169653
527	36244	169688
528	36312	169620
529	36367	169486
530	36440	169439
531	36522	169433
532	36610	169453
533	36699	169477
534	36780	169465
535	36867	169481
536	36944	169447
537	37032	169468
538	37123	169499
539	37210	169512
540	37270	169403
541	37343	169354
542	37429	169362
543	37481	169216
544	37532	169069
545	37583	168917
546	37657	168875
547	37736	168849
548	37803	168774
549	37879	168737
550	37957	168706
551	38018	168605
552	38107	168622
553	38183	168586
554	38236	168448
555	38317	168432
556	38372	168302
557	38487	168434
558	38562	168390
559	38651	168408
560	38738	168421
561	38827	168435
562	38893	168354
563	38982	168370
564	39049	168291
565	39104	168163
566	39158	168028
567	39232	167980
568	39303	167921
569	39376	167868
570	39463	167874
571	39527	167785
572	39618	167808
573	39696	167777
574	39757	167673
575	39839	167657
576	39926	167661
577	40000	167612
578	40076	167575
579	40134	167459
580	40216	167442
581	40293	167406
582	40367	167356
583	40454	167358
584	40520	167277
585	40578	167161
586	40647	167091
587	40735	167100
588	40810	167052
